FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
09032023     0  25.6   80  1012.1  100   20     AEROPARQUE AERO                                     
09032023     1  25.5   78  1012.4  110   20     AEROPARQUE AERO                                     
09032023     2  25.7   76  1012.8   80   13     AEROPARQUE AERO                                     
09032023     3  25.5   68  1012.6   80   15     AEROPARQUE AERO                                     
09032023     4  25.0   73  1012.6   90   15     AEROPARQUE AERO                                     
09032023     5  24.7   76  1012.6  100   15     AEROPARQUE AERO                                     
09032023     6  25.0   76  1012.8   90   13     AEROPARQUE AERO                                     
09032023     7  24.3   85  1013.3  110   17     AEROPARQUE AERO                                     
09032023     8  25.3   83  1013.8  110   19     AEROPARQUE AERO                                     
09032023     9  26.1   81  1014.2  110   20     AEROPARQUE AERO                                     
09032023    10  26.7   78  1014.6  100   24     AEROPARQUE AERO                                     
09032023    11  27.5   75  1014.6  110   24     AEROPARQUE AERO                                     
09032023    12  27.5   75  1014.1  110   24     AEROPARQUE AERO                                     
09032023    13  27.9   73  1013.6  100   22     AEROPARQUE AERO                                     
09032023    14  28.8   66  1012.9  110   22     AEROPARQUE AERO                                     
09032023    15  30.4   55  1012.2  110   24     AEROPARQUE AERO                                     
09032023    16  30.3   44  1011.3  110   24     AEROPARQUE AERO                                     
09032023    17  29.1   55  1010.6  110   26     AEROPARQUE AERO                                     
09032023    18  28.0   67  1010.6  110   31     AEROPARQUE AERO                                     
09032023    19  26.8   66  1010.4  120   28     AEROPARQUE AERO                                     
09032023    20  26.6   65  1010.3  120   31     AEROPARQUE AERO                                     
09032023    21  26.7   68  1010.6  110   31     AEROPARQUE AERO                                     
09032023    22  26.7   71  1010.5  100   33     AEROPARQUE AERO                                     
09032023    23  27.0   66  1010.9   90   19     AEROPARQUE AERO                                     
09032023     0  17.0   84  1013.6  140    6     AZUL AERO                                           
09032023     1  16.6   88  1013.8   90    4     AZUL AERO                                           
09032023     2  15.2   91  1014.1  140    6     AZUL AERO                                           
09032023     3  15.2   89  1014.0  140    6     AZUL AERO                                           
09032023     4  14.6   91  1013.8  140    4     AZUL AERO                                           
09032023     5  14.2   93  1013.9   90    4     AZUL AERO                                           
09032023     6  14.0   96  1014.1   90    4     AZUL AERO                                           
09032023     7  14.9   97  1014.7  140    2     AZUL AERO                                           
09032023     8  16.9   96  1014.9   50    2     AZUL AERO                                           
09032023     9  20.0   98  1015.2  360   11     AZUL AERO                                           
09032023    10  21.2   95  1015.5  360   11     AZUL AERO                                           
09032023    11  24.3   79  1015.1  360   13     AZUL AERO                                           
09032023    12  27.4   63  1014.5   50   11     AZUL AERO                                           
09032023    13  28.9   49  1013.6  360   13     AZUL AERO                                           
09032023    14  29.5   44  1012.9   50    9     AZUL AERO                                           
09032023    15  30.9   39  1012.1  360   13     AZUL AERO                                           
09032023    16  30.6   42  1011.2  320    9     AZUL AERO                                           
09032023    17  31.1   40  1010.6  360   13     AZUL AERO                                           
09032023    18  30.6   40  1010.3   50   11     AZUL AERO                                           
09032023    19  28.2   49  1010.4   50    9     AZUL AERO                                           
09032023    20  26.1   55  1009.9   50   13     AZUL AERO                                           
09032023    21  26.0   47  1009.8   50   20     AZUL AERO                                           
09032023    22  25.4   41  1011.1   50   19     AZUL AERO                                           
09032023    23  18.0   81  1013.1  140   28     AZUL AERO                                           
09032023     0  19.3   79  1012.8  320   15     BAHIA BLANCA AERO                                   
09032023     1  18.1   81  1012.9  340   19     BAHIA BLANCA AERO                                   
09032023     2  17.8   81  1013.1  340   20     BAHIA BLANCA AERO                                   
09032023     3  17.9   82  1012.7  340   19     BAHIA BLANCA AERO                                   
09032023     4  18.7   79  1012.6  340   20     BAHIA BLANCA AERO                                   
09032023     5  18.8   79  1012.7  320   17     BAHIA BLANCA AERO                                   
09032023     6  17.7   81  1012.4  340   15     BAHIA BLANCA AERO                                   
09032023     7  16.8   84  1012.6  340   13     BAHIA BLANCA AERO                                   
09032023     8  17.2   88  1013.4  340   13     BAHIA BLANCA AERO                                   
09032023     9  18.7   80  1013.7  340   15     BAHIA BLANCA AERO                                   
